MUNICIPIO,NOMBRE_MUNICIPIO
1,ACAMBAY DE RUIZ CASTAÑEDA
2,ACOLMAN
3,ACULCO
4,ALMOLOYA DE ALQUISIRAS
5,ALMOLOYA DE JUAREZ
6,ALMOLOYA DEL RIO
7,AMANALCO
8,AMATEPEC
9,AMECAMECA
10,APAXCO
11,ATENCO
12,ATIZAPAN
13,ATIZAPAN DE ZARAGOZA
14,ATLACOMULCO
15,ATLAUTLA
16,AXAPUSCO
17,AYAPANGO
18,CALIMAYA
19,CAPULHUAC
20,COACALCO DE BERRIOZABAL
21,COATEPEC HARINAS
22,COCOTITLAN
23,COYOTEPEC
24,CUAUTITLAN
25,CUAUTITLAN IZCALLI
26,CHALCO
27,CHAPA DE MOTA
28,CHAPULTEPEC
29,CHIAUTLA
30,CHICOLOAPAN
31,CHICONCUAC
32,CHIMALHUACAN
33,DONATO GUERRA
34,ECATEPEC DE MORELOS
35,ECATZINGO
36,HUEHUETOCA
37,HUEYPOXTLA
38,HUIXQUILUCAN
39,ISIDRO FABELA
40,IXTAPALUCA
41,IXTAPAN DE LA SAL
42,IXTAPAN DEL ORO
43,IXTLAHUACA
44,XALATLACO
45,JALTENCO
46,JILOTEPEC
47,JILOTZINGO
48,JIQUIPILCO
49,JOCOTITLAN
50,JOQUICINGO
51,JUCHITEPEC
52,LERMA
53,MALINALCO
54,MELCHOR OCAMPO
55,METEPEC
56,MEXICALTZINGO
57,MORELOS
58,NAUCALPAN DE JUAREZ
59,NEXTLALPAN
60,NEZAHUALCOYOTL
61,NICOLAS ROMERO
62,NOPALTEPEC
63,OCOYOACAC
64,OCUILAN
65,EL ORO
66,OTUMBA
67,OTZOLOAPAN
68,OTZOLOTEPEC
69,OZUMBA
70,PAPALOTLA
71,LA PAZ
72,POLOTITLAN
73,RAYON
74,SAN ANTONIO LA ISLA
75,SAN FELIPE DEL PROGRESO
76,SAN MARTIN DE LAS PIRAMIDES
77,SAN MATEO ATENCO
78,SAN SIMON DE GUERRERO
79,SANTO TOMAS
80,SOYANIQUILPAN DE JUAREZ
81,SULTEPEC
82,TECAMAC
83,TEJUPILCO
84,TEMAMATLA
85,TEMASCALAPA
86,TEMASCALCINGO
87,TEMASCALTEPEC
88,TEMOAYA
89,TENANCINGO
90,TENANGO DEL AIRE
91,TENANGO DEL VALLE
92,TEOLOYUCAN
93,TEOTIHUACAN
94,TEPETLAOXTOC
95,TEPETLIXPA
96,TEPOTZOTLAN
97,TEQUIXQUIAC
98,TEXCALTITLAN
99,TEXCALYACAC
100,TEXCOCO
101,TEZOYUCA
102,TIANGUISTENCO
103,TIMILPAN
104,TLALMANALCO
105,TLALNEPANTLA DE BAZ
106,TLATLAYA
107,TOLUCA
108,TONATICO
109,TULTEPEC
110,TULTITLAN
111,VALLE DE BRAVO
112,VILLA DE ALLENDE
113,VILLA DEL CARBON
114,VILLA GUERRERO
115,VILLA VICTORIA
116,XONACATLAN
117,ZACAZONAPAN
118,ZACUALPAN
119,ZINACANTEPEC
120,ZUMPAHUACAN
121,ZUMPANGO
122,VALLE DE CHALCO SOLIDARIDAD
123,LUVIANOS
124,SAN JOSE DEL RINCON
125,TONANITLA
